text,name,animal,color,label,answer
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Alex is a red animal. Can Alex fly?,Alex,penguin,red,0,no
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Charlie is a blue animal. Can Charlie fly?,Charlie,bird,blue,1,yes
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Robin is a blue animal. Can Robin fly?,Robin,penguin,blue,0,no
Luna is a blue animal. Can Luna fly?,Luna,bird,blue,1,yes
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Tweety is a blue animal. Can Tweety fly?,Tweety,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Robin is a blue animal. Can Robin fly?,Robin,penguin,blue,0,no
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Alex is a red animal. Can Alex fly?,Alex,penguin,red,0,no
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Robin is a blue animal. Can Robin fly?,Robin,bird,blue,1,yes
Alex is a blue animal. Can Alex fly?,Alex,bird,blue,1,yes
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Luna is a red animal. Can Luna fly?,Luna,penguin,red,0,no
Milo is a blue animal. Can Milo fly?,Milo,penguin,blue,0,no
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Tweety is a blue animal. Can Tweety fly?,Tweety,bird,blue,1,yes
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Charlie is a blue animal. Can Charlie fly?,Charlie,bird,blue,1,yes
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Milo is a blue animal. Can Milo fly?,Milo,penguin,blue,0,no
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Tweety is a blue animal. Can Tweety fly?,Tweety,penguin,blue,0,no
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Robin is a blue animal. Can Robin fly?,Robin,penguin,blue,0,no
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Milo is a blue animal. Can Milo fly?,Milo,penguin,blue,0,no
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Robin is a blue animal. Can Robin fly?,Robin,penguin,blue,0,no
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Charlie is a blue animal. Can Charlie fly?,Charlie,bird,blue,1,yes
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Tweety is a blue animal. Can Tweety fly?,Tweety,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Milo is a blue animal. Can Milo fly?,Milo,penguin,blue,0,no
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Robin is a blue animal. Can Robin fly?,Robin,bird,blue,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Tweety is a blue animal. Can Tweety fly?,Tweety,penguin,blue,0,no
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Milo is a blue animal. Can Milo fly?,Milo,penguin,blue,0,no
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Tweety is a blue animal. Can Tweety fly?,Tweety,penguin,blue,0,no
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Robin is a blue animal. Can Robin fly?,Robin,penguin,blue,0,no
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Milo is a red animal. Can Milo fly?,Milo,penguin,red,0,no
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Robin is a blue animal. Can Robin fly?,Robin,penguin,blue,0,no
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Milo is a blue animal. Can Milo fly?,Milo,penguin,blue,0,no
Alex is a red animal. Can Alex fly?,Alex,bird,red,1,yes
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Tweety is a blue animal. Can Tweety fly?,Tweety,penguin,blue,0,no
Milo is a blue animal. Can Milo fly?,Milo,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Milo is a red animal. Can Milo fly?,Milo,penguin,red,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Milo is a blue animal. Can Milo fly?,Milo,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Milo is a blue animal. Can Milo fly?,Milo,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Tweety is a blue animal. Can Tweety fly?,Tweety,penguin,blue,0,no
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Robin is a blue animal. Can Robin fly?,Robin,penguin,blue,0,no
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Robin is a red animal. Can Robin fly?,Robin,penguin,red,0,no
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
Tweety is a blue animal. Can Tweety fly?,Tweety,penguin,blue,0,no
Tweety is a red animal. Can Tweety fly?,Tweety,bird,red,1,yes
Milo is a red animal. Can Milo fly?,Milo,bird,red,1,yes
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Charlie is a blue animal. Can Charlie fly?,Charlie,penguin,blue,0,no
Charlie is a red animal. Can Charlie fly?,Charlie,bird,red,1,yes
Luna is a blue animal. Can Luna fly?,Luna,penguin,blue,0,no
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Robin is a red animal. Can Robin fly?,Robin,bird,red,1,yes
Tweety is a red animal. Can Tweety fly?,Tweety,penguin,red,0,no
Alex is a blue animal. Can Alex fly?,Alex,penguin,blue,0,no
Luna is a red animal. Can Luna fly?,Luna,bird,red,1,yes
